# This is a continuation of trace file /home/alumno/Escritorio/504021/workspace/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2015-11-02 17:42:53.926
| Worker-25 | 2015-11-02 18:01:43.884 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.885 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-25 | 2015-11-02 18:01:43.885 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.894 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 9 ms |
| Worker-25 | 2015-11-02 18:01:43.896 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.896 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.896 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.896 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.897 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.897 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.898 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.898 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.898 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.899 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-25 | 2015-11-02 18:01:43.899 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.899 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.900 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.900 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.901 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.902 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.902 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-25 | 2015-11-02 18:01:43.902 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.903 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-25 | 2015-11-02 18:01:43.904 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.907 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-25 | 2015-11-02 18:01:43.908 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.910 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-25 | 2015-11-02 18:01:43.911 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.913 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-25 | 2015-11-02 18:01:43.914 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.917 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-25 | 2015-11-02 18:01:43.918 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.922 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 4 ms |
| Worker-25 | 2015-11-02 18:01:43.922 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-25 | 2015-11-02 18:01:43.923 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| ModalContext | 2015-11-02 18:03:25.453 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.453 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.454 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.454 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.454 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.458 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 4 ms |
| ModalContext | 2015-11-02 18:03:25.459 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.459 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.459 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.459 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.459 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.460 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| ModalContext | 2015-11-02 18:03:25.461 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.461 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.461 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.462 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| ModalContext | 2015-11-02 18:03:25.462 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.462 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.463 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.463 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.463 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.463 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| ModalContext | 2015-11-02 18:03:25.464 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| ModalContext | 2015-11-02 18:03:25.465 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
